Utt	Syll	Start	End
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	de	32:972	33:417
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ze	33:417	33:559
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	dag	33:559	33:768
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	te	33:768	33:876
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	be	33:876	33:933
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	le	33:933	34:196
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ven 	34:196	34:388
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	zon	34:388	34:586
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	der	34:586	34:662
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ma	34:662	34:831
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ma	34:831	34:995
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	Soms	76:947	77:430
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	wil	77:430	77:569
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	de	77:569	77:664
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	Li	77:664	77:824
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	sa	77:824	78:141
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	dat	78:445	78:540
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	zij	78:540	78:716
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	ze	78:716	78:887
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	lf	78:887	79:096
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	ook	79:096	79:271
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	zo	79:271	79:444
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	ge	79:444	79:583
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	ma	79:583	79:773
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	kkelijk	79:773	80:011
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	kon	80:011	80:204
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	pra	80:204	80:504
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	ten	80:504	80:607
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	als	80:607	80:731
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	Ju	80:731	80:876
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	li	80:876	81:017
Soms wilde Lisa dat zijzelf ook zo gemakkelijk kon praten als Julia	a	81:017	81:192
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	Maar	318:088	318:190
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	na	318:190	318:402
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	een	318:402	318:518
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	be	318:518	318:569
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	vol	318:569	318:799
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	kings	318:799	319:047
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	on	319:047	319:177
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	der	319:177	319:250
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	zoek	319:250	319:451
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	voor	319:451	319:653
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	vrouw	319:653	319:971
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	en	319:971	320:096
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	was	320:405	320:572
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	er	320:572	320:741
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	borst	320:741	321:022
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	kan	321:022	321:202
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	ker	321:202	321:359
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	bij	321:359	321:478
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	haar	321:478	321:648
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	ge	321:648	321:800
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	con	321:800	321:931
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	sta	321:931	322:162
Maar na een bevolkingsonderzoek voor vrouwen was er borstkanker bij haar geconstateerd	teerd	322:162	322:474
Maar door al dat gestress ga je straks over de kop	Maar	440:045	440:191
Maar door al dat gestress ga je straks over de kop	door	440:191	440:403
Maar door al dat gestress ga je straks over de kop	al	440:403	440:618
Maar door al dat gestress ga je straks over de kop	dat	440:618	440:765
Maar door al dat gestress ga je straks over de kop	ge	440:765	440:935
Maar door al dat gestress ga je straks over de kop	stress	440:935	441:527
Maar door al dat gestress ga je straks over de kop	ga	441:527	441:719
Maar door al dat gestress ga je straks over de kop	je	441:719	441:833
Maar door al dat gestress ga je straks over de kop	straks	441:833	442:230
Maar door al dat gestress ga je straks over de kop	o	442:230	442:394
Maar door al dat gestress ga je straks over de kop	ver	442:394	442:526
Maar door al dat gestress ga je straks over de kop	de	442:526	442:672
Maar door al dat gestress ga je straks over de kop	kop	442:672	442:924
